_date,total_views,unique_views
2023-12-04,1,1
2023-12-11,2,1
2023-12-29,18,1
2024-01-09,7,2
2024-01-18,1,1
2024-01-22,1,1
2024-04-03,1,1
2024-04-17,1,1
2024-04-19,2,2
2024-04-22,1,1
2024-06-30,1,1
2024-11-28,1,1
2025-05-26,1,1
2025-06-02,1,1
2025-08-08,1,1
2025-08-17,2,1
2025-09-14,1,1
2025-09-20,1,1
2025-10-08,1,1
2025-11-10,2,1
2025-11-20,1,1
2025-11-24,1,1
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
